"protein","transcript","cluster_id","analysis_type","candidate_key","tree_sources","exon_orders","transcript_exon_ranks","exon_ids","exon_order_min","exon_order_max","n_exons","n_events","n_subjects","diameter_1d","diameter_3d","p_1d_size","p_3d_size","p_1d_protein","p_3d_protein","p_1d_joint","p_3d_joint","p_any_joint","p_hotspot_omnibus","n_unique_null_1d_diameters","n_unique_null_3d_diameters","null_1d_variable","null_3d_variable","compactness_testable","compactness_testability_reason","significant_1d","significant_3d","significant_any","hotspot_class","events_per_exon","subjects_per_exon","min_events_per_exon","min_subjects_per_exon","n_events_spanning_multiple_cluster_exons","n_subjects_spanning_multiple_cluster_exons","n_subjects_with_multiple_events_in_cluster","best_supported_subcluster_key","n_events_added_vs_best_subcluster","n_subjects_added_vs_best_subcluster","branch_adds_independent_subjects","recurrence_scope_used","best_recurrent_exon_order","best_recurrent_transcript_exon_rank","best_exon_p_subjects_raw","best_exon_p_subjects_scope_omnibus","best_exon_p_subjects_across_scopes","best_exon_p_subjects_omnibus","n_testable_recurrence_exons","n_significant_recurrent_exons","integrated_evidence_class","n_events_HOMDEL","n_subjects_HOMDEL","n_events_HETDEL","n_subjects_HETDEL","n_events_GAIN","n_subjects_GAIN","n_events_ALL_CNA","n_subjects_ALL_CNA"
"CDKN2A","ENST00000304494","HOMDEL_cluster_0001","HOMDEL","1;2","1D;3D","1;2","1;2","ENSE00001833804;ENSE00003496053",1,2,2,35,33,1,4.66314637749934,0.240751849630074,0.240751849630074,0.604879024195161,0.604879024195161,0.604879024195161,0.604879024195161,0.604879024195161,0.604879024195161,2,2,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:23;2:17","1:23;2:17",17,17,5,5,2,"1",12,10,TRUE,"PARTIAL_LOCALIZABLE",1,1,0.164683531646835,0.703129687031297,1,1,2,0,"No significant recurrence or compactness",35,33,28,28,2,2,65,45
"CDKN2A","ENST00000304494","HOMDEL_cluster_0002","HOMDEL","1;2;3","1D;3D","1;2;3","1;2;3","ENSE00001833804;ENSE00003496053;ENSE00003529527",1,3,3,36,34,2,53.4735209148941,1,1,1,1,1,1,1,1,2,2,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:23;2:17;3:13","1:23;2:17;3:13",13,13,17,17,2,"1;2",1,1,TRUE,"PARTIAL_LOCALIZABLE",1,1,0.164683531646835,0.703129687031297,1,1,3,0,"No significant recurrence or compactness",36,34,34,32,2,2,72,46
"CDKN2A","ENST00000304494","HOMDEL_cluster_0003","HOMDEL","1","1D;3D","1","1","ENSE00001833804",1,1,1,23,23,0,0,,,,,,,,,2,2,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","1:23","1:23",23,23,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",1,1,0.164683531646835,0.703129687031297,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",23,23,13,13,0,0,36,36
"CDKN2A","ENST00000304494","HOMDEL_cluster_0004","HOMDEL","2","1D;3D","2","2","ENSE00003496053",2,2,1,17,17,0,0,,,,,,,,,2,2,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","2:17","2:17",17,17,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",2,2,1,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",17,17,19,19,2,2,38,38
"CDKN2A","ENST00000304494","HOMDEL_cluster_0005","HOMDEL","3","1D;3D","3","3","ENSE00003529527",3,3,1,13,13,0,0,,,,,,,,,2,2,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","3:13","3:13",13,13,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",3,3,0.475952404759524,0.998200179982002,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",13,13,19,19,1,1,33,33
"CDKN2A","ENST00000304494","HETDEL_cluster_0001","HETDEL","1;2","1D;3D","1;2","1;2","ENSE00001833804;ENSE00003496053",1,2,2,28,28,1,4.66314637749934,0.366726654669066,0.366726654669066,0.629674065186963,0.629674065186963,0.629674065186963,0.629674065186963,0.629674065186963,0.629674065186963,2,2,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:13;2:19","1:13;2:19",13,13,4,4,0,"2",9,9,TRUE,"PARTIAL_LOCALIZABLE",1,1,0.599140085991401,1,1,1,2,0,"No significant recurrence or compactness",35,33,28,28,2,2,65,45
"CDKN2A","ENST00000304494","HETDEL_cluster_0002","HETDEL","1;2;3","1D;3D","1;2;3","1;2;3","ENSE00001833804;ENSE00003496053;ENSE00003529527",1,3,3,34,32,2,53.4735209148941,1,1,1,1,1,1,1,1,2,2,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:13;2:19;3:19","1:13;2:19;3:19",13,13,17,17,2,"1;2",6,4,TRUE,"PARTIAL_LOCALIZABLE",3,3,0.516948305169483,1,1,1,3,0,"No significant recurrence or compactness",36,34,34,32,2,2,72,46
"CDKN2A","ENST00000304494","HETDEL_cluster_0003","HETDEL","1","1D;3D","1","1","ENSE00001833804",1,1,1,13,13,0,0,,,,,,,,,2,2,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","1:13","1:13",13,13,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",1,1,0.599140085991401,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",23,23,13,13,0,0,36,36
"CDKN2A","ENST00000304494","HETDEL_cluster_0004","HETDEL","2","1D;3D","2","2","ENSE00003496053",2,2,1,19,19,0,0,,,,,,,,,2,2,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","2:19","2:19",19,19,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",2,2,0.8002199780022,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",17,17,19,19,2,2,38,38
"CDKN2A","ENST00000304494","HETDEL_cluster_0005","HETDEL","3","1D;3D","3","3","ENSE00003529527",3,3,1,19,19,0,0,,,,,,,,,2,2,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","3:19","3:19",19,19,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",3,3,0.516948305169483,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",13,13,19,19,1,1,33,33
"CDKN2A","ENST00000304494","GAIN_cluster_0001","GAIN","2;3","1D;3D","2;3","2;3","ENSE00003496053;ENSE00003529527",2,3,2,2,2,1,27.0584563101887,0.971405718856229,0.971405718856229,0.967606478704259,0.967606478704259,0.967606478704259,0.967606478704259,0.967606478704259,0.967606478704259,3,3,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","2:2;3:1","2:2;3:1",1,1,1,1,0,"2",0,0,FALSE,"PARTIAL_LOCALIZABLE",3,3,0.665133486651335,1,1,1,2,0,"No significant recurrence or compactness",18,18,25,23,2,2,45,39
"CDKN2A","ENST00000304494","GAIN_cluster_0002","GAIN","2","1D;3D","2","2","ENSE00003496053",2,2,1,2,2,0,0,,,,,,,,,3,3,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","2:2","2:2",2,2,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",2,2,0.68003199680032,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",17,17,19,19,2,2,38,38
"CDKN2A","ENST00000304494","ALL_CNA_cluster_0001","ALL_CNA","1;2","1D;3D","1;2","1;2","ENSE00001833804;ENSE00003496053",1,2,2,65,45,1,4.66314637749934,0.477304539092182,0.477304539092182,0.813637272545491,0.813637272545491,0.813637272545491,0.813637272545491,0.813637272545491,0.813637272545491,2,2,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:36;2:38","1:36;2:38",36,36,9,9,20,"2",27,7,TRUE,"PARTIAL_LOCALIZABLE",1,1,0.225977402259774,0.82031796820318,1,1,2,0,"No significant recurrence or compactness",35,33,28,28,2,2,65,45
"CDKN2A","ENST00000304494","ALL_CNA_cluster_0002","ALL_CNA","1;2;3","1D;3D","1;2;3","1;2;3","ENSE00001833804;ENSE00003496053;ENSE00003529527",1,3,3,72,46,2,53.4735209148941,1,1,1,1,1,1,1,1,2,2,TRUE,TRUE,TRUE,"",FALSE,FALSE,FALSE,"Weak clustering evidence","1:36;2:38;3:33","1:36;2:38;3:33",33,33,35,35,25,"1;2",7,1,TRUE,"PARTIAL_LOCALIZABLE",1,1,0.225977402259774,0.82031796820318,1,1,3,0,"No significant recurrence or compactness",36,34,34,32,2,2,72,46
"CDKN2A","ENST00000304494","ALL_CNA_cluster_0003","ALL_CNA","1","1D;3D","1","1","ENSE00001833804",1,1,1,36,36,0,0,,,,,,,,,2,2,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","1:36","1:36",36,36,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",1,1,0.225977402259774,0.82031796820318,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",23,23,13,13,0,0,36,36
"CDKN2A","ENST00000304494","ALL_CNA_cluster_0004","ALL_CNA","2","1D;3D","2","2","ENSE00003496053",2,2,1,38,38,0,0,,,,,,,,,2,2,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","2:38","2:38",38,38,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",2,2,0.905209479052095,1,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",17,17,19,19,2,2,38,38
"CDKN2A","ENST00000304494","ALL_CNA_cluster_0005","ALL_CNA","3","1D;3D","3","3","ENSE00003529527",3,3,1,33,33,0,0,,,,,,,,,2,2,TRUE,TRUE,FALSE,"single_exon_cluster",FALSE,FALSE,FALSE,"Single-exon recurrence assessed separately","3:33","3:33",33,33,0,0,0,"",,,,"PARTIAL_LOCALIZABLE",3,3,0.358364163583642,0.954704529547045,1,1,1,0,"No significant recurrence; multi-exon compactness not testable",13,13,19,19,1,1,33,33
